fir_number,incident_date,incident_time,timestamp,district,police_station,crime_category,sub_category,latitude,longitude,severity_score,status,modus_operandi,suspect_id,suspect_name,gang_affiliation,estimated_loss_inr,is_cybercrime,repeat_offender
FIR-2026-HUB-1001,2026-02-18,00:55:56,2026-02-18T00:55:56.033920,Hubballi-Dharwad,Dharwad Town PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,15.291157,75.178255,6,Suspect Identified,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,60000.0,0,0
FIR-2025-KAL-1002,2025-09-26,05:12:56,2025-09-26T05:12:56.033920,Kalaburagi,Station Bazar PS,Commercial Fraud,Ponzi Scheme,17.293442,76.850314,4,Suspect Identified,High return investment scheme,UNKNOWN,Unidentified Suspect,None,96000.0,0,0
FIR-2026-BEN-1003,2026-05-03,02:08:56,2026-05-03T02:08:56.033920,Bengaluru City,Electronic City PS,Narcotics,MDMA / Synthetic Drugs,13.016746,77.744102,8,Pending,Near college campuses,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-MYS-1004,2026-01-06,15:47:56,2026-01-06T15:47:56.033920,Mysuru,Devaraja PS,Chain Snatching & Theft,Mobile Theft,12.273715,76.615417,3,Charge Sheeted,Master key ignition,SUS-1001,Ramesh 'Blade' Kumar,MG Road Gang,9000.0,0,1
FIR-2026-MYS-1005,2026-03-10,00:08:56,2026-03-10T00:08:56.033920,Mysuru,Kuuvempunagar PS,Assault & Violent Crime,Grievous Hurt,12.272826,76.647939,6,Solved,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-BEN-1006,2025-12-28,13:24:56,2025-12-28T13:24:56.033920,Bengaluru City,Cubbon Park PS,Assault & Violent Crime,Group Assault,12.937996,77.71089,8,Under Investigation,Altercation near bar/liquor shop,SUS-1007,Praveen Gowda,Koramangala Network,80000.0,0,1
FIR-2025-MAN-1007,2025-11-05,16:53:56,2025-11-05T16:53:56.033920,Mangaluru,Ullal PS,Chain Snatching & Theft,Vehicle Theft,12.935384,74.910648,3,Solved,Master key ignition,SUS-1004,Kiran @ Shadow,MG Road Gang,0.0,0,1
FIR-2025-MAN-1008,2025-11-18,13:01:56,2025-11-18T13:01:56.033920,Mangaluru,Barkhe PS,Assault & Violent Crime,Grievous Hurt,12.894975,74.857841,9,Suspect Identified,Altercation near bar/liquor shop,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,90000.0,0,1
FIR-2026-MAN-1009,2026-02-18,15:38:56,2026-02-18T15:38:56.033920,Mangaluru,Barkhe PS,Assault & Violent Crime,Group Assault,12.920726,74.819568,8,Pending,Group clash over property dispute,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-MAN-1010,2025-08-30,10:37:56,2025-08-30T10:37:56.033920,Mangaluru,Pandeshwar PS,Narcotics,Ganja Possession,12.865546,74.804568,8,Pending,Near college campuses,UNKNOWN,Unidentified Suspect,None,80000.0,0,0
FIR-2026-BAL-1011,2026-06-08,10:23:56,2026-06-08T10:23:56.033920,Ballari,Cowled Bazar PS,Narcotics,Ganja Possession,15.12552,76.880295,9,Pending,Courier shipment concealed in electronics,UNKNOWN,Unidentified Suspect,None,27000.0,0,0
FIR-2025-BEN-1012,2025-10-05,05:08:56,2025-10-05T05:08:56.033920,Bengaluru City,Whitefield PS,Commercial Fraud,Real Estate Scam,12.959721,77.716136,6,Charge Sheeted,Fake visa offer,UNKNOWN,Unidentified Suspect,None,60000.0,0,0
FIR-2025-BEN-1013,2025-08-17,07:04:56,2025-08-17T07:04:56.033920,Bengaluru City,Jayanagar PS,Robbery & Extortion,Highway Dacoity,13.003835,77.635053,9,Solved,Posing as local gang member,UNKNOWN,Unidentified Suspect,None,216000.0,0,0
FIR-2026-BEL-1014,2026-05-28,02:54:56,2026-05-28T02:54:56.033920,Belagavi,Khade Bazar PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,15.900878,74.466713,3,Charge Sheeted,Unlocked house entry at night,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,0.0,0,1
FIR-2026-TUM-1015,2026-05-28,02:53:56,2026-05-28T02:53:56.033920,Tumakuru,Kyathsandra PS,Robbery & Extortion,Extortion Call,13.365261,77.117353,8,Under Investigation,Sharp weapon threat at night,UNKNOWN,Unidentified Suspect,None,8000.0,0,0
FIR-2026-TUM-1016,2026-02-21,19:37:56,2026-02-21T19:37:56.033920,Tumakuru,New Extension PS,Chain Snatching & Theft,Mobile Theft,13.354507,77.142248,6,Suspect Identified,Pillion rider snatching on Pulsar bike,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-HUB-1017,2025-09-05,21:05:56,2025-09-05T21:05:56.033920,Hubballi-Dharwad,Dharwad Town PS,Chain Snatching & Theft,Mobile Theft,15.417624,75.158914,4,Solved,Unlocked house entry at night,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,96000.0,0,1
FIR-2026-BEN-1018,2026-01-28,18:55:56,2026-01-28T18:55:56.033920,Bengaluru City,Indiranagar PS,Robbery & Extortion,Armed Robbery,13.068429,77.497479,7,Suspect Identified,Posing as local gang member,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,0.0,0,0
FIR-2025-KAL-1019,2025-12-14,21:59:56,2025-12-14T21:59:56.033920,Kalaburagi,Chowk PS,Robbery & Extortion,Extortion Call,17.309893,76.755017,9,Solved,Sharp weapon threat at night,SUS-1001,Ramesh 'Blade' Kumar,MG Road Gang,27000.0,0,0
FIR-2025-KAL-1020,2025-12-24,12:50:56,2025-12-24T12:50:56.033920,Kalaburagi,Brahampur PS,Commercial Fraud,Real Estate Scam,17.393106,76.831891,6,Charge Sheeted,Fake government sanction letter,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-TUM-1021,2026-01-09,08:20:56,2026-01-09T08:20:56.033920,Tumakuru,New Extension PS,Commercial Fraud,Ponzi Scheme,13.318627,77.066811,7,Pending,Fake government sanction letter,UNKNOWN,Unidentified Suspect,None,7000.0,0,0
FIR-2025-BEN-1022,2025-08-29,11:21:56,2025-08-29T11:21:56.033920,Bengaluru City,Cubbon Park PS,Commercial Fraud,Real Estate Scam,12.93696,77.565556,4,Suspect Identified,Fake government sanction letter,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,12000.0,0,0
FIR-2026-BEL-1023,2026-03-08,19:12:56,2026-03-08T19:12:56.033920,Belagavi,Camp PS,Assault & Violent Crime,Street Brawl,15.880149,74.467765,8,Suspect Identified,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,80000.0,0,0
FIR-2025-TUM-1024,2025-11-21,20:28:56,2025-11-21T20:28:56.033920,Tumakuru,Town PS Tumakuru,Chain Snatching & Theft,House Burglary,13.357485,77.136423,7,Pending,Pillion rider snatching on Pulsar bike,UNKNOWN,Unidentified Suspect,None,168000.0,0,0
FIR-2025-MAN-1025,2025-07-27,01:14:56,2025-07-27T01:14:56.033920,Mangaluru,Kadri PS,Commercial Fraud,Ponzi Scheme,12.958206,74.899387,8,Solved,Fake visa offer,UNKNOWN,Unidentified Suspect,None,8000.0,0,0
